recommender,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,avg_candidates_per_user,include_hybrid,hybrid_weights,diversity_weight
item_item_knn,0.056,0.0399257759784075,0.24,0.0689187153468687,0.032,0.0449257759784075,0.24,0.0590529809122629,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_ranking_model,0.032,0.0074175824175824,0.12,0.0248985907840767,0.056,0.0438553131079446,0.44,0.0495432509954354,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_rating_model,0.0,0.0,0.0,0.0,0.004,0.0015384615384615,0.04,0.002544831527958,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
popularity_bayes,0.04,0.0043956043956043,0.08,0.035587573271651,0.036,0.0206239614044492,0.2,0.0367504488137366,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
genre_personalized_popularity,0.414,0.2833446455166182,0.86,0.4834282854670765,0.312,0.3726431075734976,0.88,0.4689496324768851,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
hybrid_ranker,0.478,0.3386047334639153,0.9,0.5537869942490345,0.397,0.5040983963360965,0.95,0.5842581740909796,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
item_item_knn,0.448,0.3171149665992909,0.84,0.5015959115805293,0.382,0.4832453354180704,0.94,0.5408615318412627,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_ranking_model,0.502,0.3147348336974956,0.87,0.5627599421823236,0.416,0.4982633904494791,0.93,0.5862810842921283,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_rating_model,0.172,0.0920000830926532,0.46,0.1781458838168129,0.164,0.1780326246596489,0.64,0.2028651221000178,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
