target,rank,feature,mean_abs_shap
genre_score,61,tag::religion,5.163621895682843e-05
genre_score,62,tag::dreamlike,4.87523255792382e-05
genre_score,63,tag::disney,4.5531734294143036e-05
genre_score,64,tag::suspense,4.361233726344095e-05
genre_score,65,tag::thought-provoking,4.037404073524617e-05
genre_score,66,tag::surreal,3.530765853515842e-05
genre_score,67,tag::comedy,3.0931460247596e-05
genre_score,68,tag::quirky,2.8870942034428515e-05
genre_score,69,tag::visually appealing,2.210571815443567e-05
genre_score,70,tag::mental illness,1.5150471357588593e-05
genre_score,71,tag::twist ending,1.3398827916114466e-05
genre_score,72,tag::black comedy,1.0966624736373885e-05
genre_score,73,tag::mindfuck,9.600311255250836e-06
genre_score,74,tag::superhero,8.800050753826442e-06
genre_score,75,tag::funny,8.77370819951868e-06
genre_score,76,tag::space,6.191192752768753e-06
genre_score,77,tag::time travel,2.4942807562024325e-06
genre_score,78,tag::aliens,0.0
genre_score,79,user_pref::(no genres listed),0.0
genre_score,80,tag::high school,0.0
genre_score,81,tag::music,0.0
genre_score,82,tag::politics,0.0
genre_score,83,genre::(no genres listed),0.0
genre_score,84,genre::Film-Noir,0.0
genre_score,85,tag::shakespeare,0.0
hybrid_score,1,knn_max_similarity,0.08570150754055392
hybrid_score,2,knn_mean_top3_similarity,0.06721649424105236
hybrid_score,3,genre::Drama,0.03585913924500705
hybrid_score,4,knn_evidence_count,0.029857452714622448
hybrid_score,5,genre::Comedy,0.0065070857609099315
hybrid_score,6,user_pref::Adventure,0.005913688166192845
hybrid_score,7,user_pref::IMAX,0.004785499450194485
hybrid_score,8,movie_bayesian_rating,0.003917888246269056
hybrid_score,9,user_pref::Comedy,0.003732087810160682
hybrid_score,10,user_pref::Drama,0.0031919088802004115
hybrid_score,11,user_pref::Fantasy,0.002978261510134311
hybrid_score,12,movie_rating_count,0.0029020477452803306
hybrid_score,13,genre::Action,0.00272011380940583
hybrid_score,14,movie_rating_mean,0.0022906093416652624
hybrid_score,15,user_pref::Crime,0.0022281823142569646
hybrid_score,16,user_pref::Horror,0.0018796740551690547
hybrid_score,17,user_rating_mean,0.0018699689676539703
hybrid_score,18,genre::Crime,0.0015970957272548635
hybrid_score,19,user_pref::Romance,0.0013854006040009744
hybrid_score,20,genre::Thriller,0.001198605151253055
hybrid_score,21,user_pref::Action,0.0011942345507262857
hybrid_score,22,user_pref::Documentary,0.0011646521719401795
hybrid_score,23,genre::Children,0.0009186841701221027
hybrid_score,24,user_pref::War,0.0007376552439912054
hybrid_score,25,movie_rating_std,0.0007317588575380986
hybrid_score,26,genre::Adventure,0.0006982865701895335
hybrid_score,27,user_pref::Children,0.0006770831356097848
hybrid_score,28,user_pref::Thriller,0.0006255539245641492
hybrid_score,29,user_pref::Mystery,0.0006138761408430757
hybrid_score,30,user_pref::Animation,0.0005985544962849293
hybrid_score,31,genre::Documentary,0.0005508123230953777
hybrid_score,32,user_pref::Sci-Fi,0.0005246197028151639
hybrid_score,33,genre::Romance,0.0004980717067836875
hybrid_score,34,user_rating_std,0.0004881659517791852
hybrid_score,35,genre::Horror,0.00047953293050875985
hybrid_score,36,user_positive_rate,0.00047790217167414137
hybrid_score,37,user_rating_count,0.00046444284320668527
hybrid_score,38,release_year,0.00041077938838130553
hybrid_score,39,movie_age,0.0003958833491071721
hybrid_score,40,user_pref::Musical,0.0003315213078515178
hybrid_score,41,genre::Fantasy,0.0003274974088760047
